,start station id,start station name,start station latitude,start station longitude,Coordinates
18420,3219,NYCBS Depot - STY,40.729193,-73.97665500000001,"(40.729193000000002, -73.976655000000008)"
7987,3221,47 Ave & 31 St,40.743,-73.93561,"(40.743000000000002, -73.935609999999997)"
811,3222,Hanson Pl & St Felix St,40.68515959989177,-73.97711366415024,"(40.685159599891769, -73.977113664150238)"
2283,3223,E 55 St & 3 Ave,40.758996559605116,-73.96865397691727,"(40.758996559605116, -73.968653976917267)"
124,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,"(40.73997354103409, -74.005138725042343)"
1951,3226,W 82 St & Central Park West,40.78275,-73.97137,"(40.78275, -73.971369999999993)"
1108,3230,Penn Station Valet,40.751283596962296,-73.99692445993422,"(40.751283596962296, -73.99692445993422)"
2213,3231,E 67 St & Park Ave,40.76780080148132,-73.96592080593109,"(40.767800801481322, -73.965920805931091)"
1136,3232,Bond St & Fulton St,40.68962188790333,-73.98304268717766,"(40.689621887903328, -73.983042687177658)"
157,3233,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,"(40.757245679117261, -73.978059142827988)"
2480,3235,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,"(40.752165280621966, -73.979921936988816)"
536,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,"(40.758984813996342, -73.993799686431871)"
2399,3237,21 St & 41 Ave,40.75383343437622,-73.94267678260802,"(40.753833434376219, -73.942676782608018)"
218,3238,E 80 St & 2 Ave,40.77391390238118,-73.9543953537941,"(40.773913902381182, -73.954395353794098)"
833,3241,Monroe St & Tompkins Ave,40.686203000000006,-73.944694,"(40.686203000000006, -73.944693999999998)"
80,3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,"(40.691029256779679, -73.991833627223969)"
354,3243,E 58 St & 1 Ave,40.75892386377695,-73.96226227283478,"(40.75892386377695, -73.962262272834778)"
784,3244,University Pl & E 8 St,40.73143724085228,-73.99490341544151,"(40.73143724085228, -73.994903415441513)"
403104,3245,Kiosk in a box Motivate,40.646677898897856,-74.01630342006682,"(40.646677898897856, -74.016303420066819)"
5715,3246,Montague St & Clinton St,40.694281141397326,-73.99230033159256,"(40.694281141397326, -73.99230033159256)"
406,3249,Verona Pl & Fulton St,40.680356084043396,-73.94767910242079,"(40.680356084043396, -73.947679102420793)"
274361,3250,NYCBS Depot - PIT,40.716909780459645,-73.98383796215056,"(40.716909780459645, -73.98383796215056)"
